,venue
110,International Journal of Aeronautical and Space Sciences
111,Journal of Petroleum Science and Engineering
112,european conference on mobile robots
113,International Journal of Knowledge Engineering and Data Mining
114,computer vision computer graphics collaboration techniques
115,Foundations and Trends in Computer Graphics and Vision
116,Nanoscale
117,artificial general intelligence
118,Journal of Information Security
119,content based multimedia indexing
120,empirical methods in natural language processing
121,pacific rim international conference on multi agents
122,arXiv: Computers and Society
123,European Journal of Operational Research
124,Acta Crystallographica Section A
125,Interfaces
126,Mathematical Modelling and Numerical Analysis
127,Annals of Combinatorics
128,international conference in central europe on computer graphics and visualization
129,Journal of Proteomics
130,international conference on web information systems and technologies
131,"advances in new technologies, interactive interfaces, and communicability"
132,Simulation
133,Solar Energy
134,Telecommunication Systems
135,Journal of Statistical Physics
136,international conference on legal knowledge and information systems
137,IEEE Transactions on Fuzzy Systems
138,workshop on positioning navigation and communication
139,ACM Transactions on Modeling and Computer Simulation
140,The Journal of Chemical Thermodynamics
141,Complexity
142,Journal of Location Based Services
143,Vision Research
144,new zealand chapter's international conference on computer-human interaction
145,International Journal of Knowledge Discovery in Bioinformatics
146,International Journal of Advanced Operations Management
147,International Journal of Information Quality
148,International Journal of Intelligent Games & Simulation
149,International Journal of Web Information Systems
150,arXiv: Molecular Networks
151,panhellenic conference on informatics
152,Journal of Applied Logic
153,ACM Sigcsim Installation Management Review
154,Computers in Industry
155,international conference on mobile technology applications and systems
156,international conference on parallel architectures and compilation techniques
157,Journal of Arabic and Islamic Studies
158,Systems and Computers in Japan
159,international conference on e business engineering
160,computational intelligence
161,Journal of Aerosol Science
162,Journal of Control Theory and Applications
163,Journal of Computational Finance
164,mobile ad hoc and sensor networks
165,international conference of the ieee engineering in medicine and biology society
166,IEEE Distributed Systems Online
167,AStA Wirtschafts- und Sozialstatistisches Archiv
168,Organised Sound
169,european conference on artificial life
170,cluster computing and the grid
171,international conference on engineering of complex computer systems
172,"Journal of Circuits, Systems, and Computers"
173,International Journal of Radio Frequency Identification Technology and Applications
174,asia pacific bioinformatics conference
175,wireless personal multimedia communications
176,Brain Structure & Function
177,Mathematical Population Studies
178,arXiv: High Energy Physics - Experiment
179,IEEE Transactions on Very Large Scale Integration Systems
180,"conference on object-oriented programming systems, languages, and applications"
181,artificial intelligence and symbolic computation
182,arXiv: Sound
183,Journal of Dynamic Systems Measurement and Control-transactions of The Asme
184,Investigative Ophthalmology & Visual Science
185,Advanced Engineering Informatics
186,languages and compilers for parallel computing
187,Virtual and Physical Prototyping
188,IEEE Transactions on Computational Social Systems
189,security and privacy in communication networks
190,Advanced Data Analysis and Classification
191,The Journal of Urology
192,international conference on health informatics
193,Journal of Logic Programming
194,international conference on knowledge capture
195,educational data mining
196,Journal of Information Science
197,Journal of Consciousness Studies
198,Communicative & Integrative Biology
199,Colloquium Mathematicum
200,Communications in Statistics-theory and Methods
201,conference on high performance computing supercomputing
202,european conference on symbolic and quantitative approaches to reasoning and uncertainty
203,Mathematical Programming Computation
204,Fuel
205,Literary and Linguistic Computing
206,"international conference on software testing, verification, and validation"
207,Circulation Research
208,International Journal of Critical Infrastructure Protection
209,Publishing Research Quarterly
210,algorithmic applications in management
211,digital image computing techniques and applications
212,"International Journal of Services, Economics and Management"
213,Nucleic Acids Research
214,International Journal of Cooperative Information Systems
215,Lms Journal of Computation and Mathematics
216,Journal of Chemical Physics
217,Applied Optics
218,international conference on networks
219,Journal of Instruction-level Parallelism
220,Journal of Second Language Writing
221,Journal of Functional Programming
222,international conference on logic programming
223,Journal of Gastrointestinal Surgery
224,International Journal of Gaming and Computer-mediated Simulations
225,Ima Journal of Numerical Analysis
226,Oncotarget
227,conference on innovative data systems research
228,Journal of Physical Chemistry Letters
229,International Journal of Modelling and Simulation
230,Journal of The Audio Engineering Society
231,Physical Review X
232,Annals of Applied Biology
233,international colloquium on grammatical inference
234,Biomaterials
235,non monotonic reasoning
236,International Journal of Computational Intelligence Studies
237,programming multi agent systems
238,Science China-mathematics
239,international conference on systems engineering
240,Medical Physics
241,Journal of Consumer Psychology
242,international conference on genetic and evolutionary computing
243,asia-pacific conference on conceptual modelling
244,Journal of Evolutionary Economics
245,Fusion Engineering and Design
246,A Quarterly Journal of Operations Research
247,The Bulletin of Symbolic Logic
248,international conference on persuasive technology
249,Journal of Multimedia
250,Foundations and Trends in Web Science
251,brazilian symposium on databases
252,pacific rim knowledge acquisition workshop
253,Zeitschrift für Angewandte Mathematik und Physik
254,Edpacs
255,Journal of Computer-aided Molecular Design
256,SIAM Journal on Scientific Computing
257,arXiv: Software Engineering
258,PLOS Currents
259,Geophysics
260,international conference on wireless communications and mobile computing
261,Siam Journal on Scientific and Statistical Computing
262,computer supported collaborative learning
263,International Journal of Systems and Service-oriented Engineering
264,Journal of Computers
265,international joint conference on automated reasoning
266,Interdisciplinary Information Sciences
267,ACM Sigmultimedia Records
268,Proceedings of SPIE
269,Advances in Optical Technologies
270,The Electricity Journal
271,personal satellite services
272,"broadband and wireless computing, communication and applications"
273,Rundbrief Der Gi-fachgruppe 5.10 Informationssystem-architekturen
274,computer-based medical systems
275,IEEE Internet of Things Journal
276,Social Science Information
277,Clei Electronic Journal
278,intelligent agents
279,Geoinformatica
280,Ars Mathematica Contemporanea
281,International Journal of Mobile Human Computer Interaction
282,Nature Communications
283,Ultrasound in Medicine and Biology
284,International Journal of Medical Engineering and Informatics
285,Methods in Enzymology
286,research challenges in information science
287,IEEE Transactions on Nuclear Science
288,european conference on interactive tv
289,Nano Communication Networks
290,Contemporary Physics
291,information systems technology and its applications
292,international conference on mobile and ubiquitous systems: networking and services
293,european solid state circuits conference
294,Cartographica: The International Journal for Geographic Information and Geovisualization
295,Journal of Theoretical Probability
296,cooperative information systems
297,international conference on e business
298,International Journal of Next-generation Networks
299,Remote Sensing of Environment
300,Analog Integrated Circuits and Signal Processing
301,Optical Engineering
302,IEEE Personal Communications
303,Pattern Recognition and Image Analysis
304,Information Systems Research
305,IEICE Transactions on Electronics
306,Computational Science & Discovery
307,Chemical Papers
308,Geophysical Journal International
309,international conference on bioinformatics and biomedical engineering
310,Yugoslav Journal of Operations Research
311,international conference on pragmatic web
312,International Journal of Wireless & Mobile Networks
313,Web Intelligence and Agent Systems: An International Journal
314,conference on current trends in theory and practice of informatics
315,International Journal of Navigation and Observation
316,Wear
317,Third Text
318,Journal of Biomedical Optics
319,arXiv: Neurons and Cognition
320,kommunikation in verteilten systemen
321,Asia-Pacific Journal of Chemical Engineering
322,International Journal of Intelligent Information and Database Systems
323,advanced information networking and applications
324,Electronic Markets
325,Journal of Artificial Societies and Social Simulation
326,Journal of Pharmacology and Experimental Therapeutics
327,arXiv: Logic in Computer Science
328,scandinavian conference on image analysis
329,"Homology, Homotopy and Applications"
330,Electronic Research Announcements in Mathematical Sciences
331,advances in computer-human interaction
332,BMC Genetics
333,Information Processing and Management
334,Applied Numerical Mathematics
335,Knowledge Engineering Review
336,Journal of Banking Regulation
337,Campus-wide Information Systems
338,Indagationes Mathematicae (proceedings)
339,mathematical knowledge management
340,arXiv: Analysis of PDEs
341,Journal of Geophysical Research
342,network-based information systems
343,Foundations and Trends in Electronic Design Automation
344,Information Systems Journal
345,rules and rule markup languages for the semantic web
346,human robot interaction
347,workshop on applications of computer vision
348,Geochemistry Geophysics Geosystems
349,symbolic and numeric algorithms for scientific computing
350,many task computing on grids and supercomputers
351,Iee Proceedings-vision Image and Signal Processing
352,information hiding
353,Scientometrics
354,IEEE Instrumentation & Measurement Magazine
355,Finance and Stochastics
356,International Journal of Digital Content Technology and Its Applications
357,Rairo-operations Research
358,innovative applications of artificial intelligence
359,pacific asia workshop on intelligence and security informatics
360,Optical Switching and Networking
361,field-programmable technology
362,digital identity management
363,enterprise engineering working conference
364,"Discrete Mathematics, Algorithms and Applications"
365,theory and applications of satisfiability testing
366,International Journal of Computer Networks & Communications
367,Ieej Transactions on Industry Applications
368,cryptographic hardware and embedded systems
369,predictive models in software engineering
370,australasian computer human interaction conference
371,European Physical Journal D
372,Journal of Educational Computing Research
373,performance evaluation methodolgies and tools
374,Advances in Mathematics of Communications
375,Proceedings of The International Astronomical Union
376,Systems Research
377,"machines, computations, and universality"
378,Neurosurgery
379,Clinical Rehabilitation
380,Communications in Nonlinear Science and Numerical Simulation
381,Frontiers in Plant Science
382,arXiv: Information Theory
383,international conference on communications
384,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery
385,Advances in Human-computer Interaction
386,Journal of the Operational Research Society
387,Journal of The Australian Mathematical Society
388,BMC Medical Genomics
389,Frontiers in Computational Neuroscience
390,Mathematical Modelling
391,international symposium on biomedical imaging
392,Geobios
393,international conference on control and automation
394,Intelligent Service Robotics
395,computer and communications security
396,computer systems and technologies
397,International Journal of Autonomous and Adaptive Communications Systems
398,broadband communications networks and systems
399,business intelligence for the real-time enterprises
400,Progres En Urologie
401,Open Systems & Information Dynamics
402,International Journal of Electronics
403,international conference of distributed computing and networking
404,Journal of the Association for Information Systems
405,ip operations and management
406,"international joint conferences on bioinformatics, systems biology and intelligent computing"
407,Iee Proceedings-communications
408,Journal of Assistive Technologies
409,international conference on principles of distributed systems
410,Journal of Mathematical Economics
411,Journal of Discrete Algorithms
412,power and timing modeling optimization and simulation
413,communications and mobile computing
414,traffic monitoring and analysis
415,IEEE Journal on Exploratory Solid-State Computational Devices and Circuits
416,Journal of Plant Physiology
417,Communications and Network
418,Cybernetics and Systems
419,"workshop on logic, language, information and computation"
420,Circuit World
421,Psychonomic Bulletin & Review
422,ACM Sigchi Bulletin
423,affective computing and intelligent interaction
424,programming multi-agent systems
425,foundations of genetic algorithms
426,management of emergent digital ecosystems
427,American Journal of Applied Sciences
428,International Journal of Advanced Networking and Applications
429,arXiv: Emerging Technologies
430,International Journal of Information System Modeling and Design
431,Energy Procedia
432,Journal of Control Science and Engineering
433,Journal of Robotic Systems
434,international conference on information security and cryptology
435,workshop on internet and network economics
436,Energy for Sustainable Development
437,Journal of Neuroengineering and Rehabilitation
438,Journal of Research and Practice in Information Technology
439,Astrophysical Bulletin
440,IEEE Transactions on Cognitive and Developmental Systems
441,ACM Transactions in Embedded Computing Systems
442,International Journal of Astrobiology
443,multimedia and ubiquitous engineering
444,Environmental Modeling & Assessment
445,great lakes symposium on vlsi
446,system-level interconnect prediction
447,Journal of Affective Disorders
448,Eating Behaviors
449,international conference on automation robotics and applications
450,european workshop on multi agent systems
451,Praxis Der Informationsverarbeitung Und Kommunikation
452,The Journal of Nuclear Medicine
453,information security for south africa
454,australian information security management conference
455,IEICE Electronics Express
456,architectural support for programming languages and operating systems
457,web intelligence
458,conference on computers and accessibility
459,Acta Applicandae Mathematicae
460,Journal of Applied Geophysics
461,Systematic Biology
462,BMC Research Notes
463,challenges of large applications in distributed environments
464,Physica Scripta
465,Codesign
466,International Journal of Nonlinear Sciences and Numerical Simulation
467,business modeling and software design
468,International Journal of Social Robotics
469,machines computations and universality
470,international computing education research workshop
471,Journal of Mechanical Design
472,european conference on computer supported cooperative work
473,Frontiers of Mathematics in China
474,Neuropsychopharmacology
475,Tropical Grasslands
476,The British Journal for the Philosophy of Science
477,Asymptotic Analysis
478,Seibutsu Butsuri
479,Personal and Ubiquitous Computing
480,field and service robotics
481,Bioinformatics
482,formal modeling and analysis of timed systems
483,modeling and optimization in mobile ad hoc and wireless networks
484,Revista Brasileira de Psiquiatria
485,hardware oriented security and trust
486,Studies in Surface Science and Catalysis
487,advanced information management and service
488,Journal of Magnetism and Magnetic Materials
489,Journal of Space Weather and Space Climate
490,International Journal of Computers Communications & Control
491,Energies
492,international conference on information systems
493,Intelligenza Artificiale
494,italian research conference on digital library management systems
495,Discrete Event Dynamic Systems
496,Omics A Journal of Integrative Biology
497,italian conference on theoretical computer science
498,"software engineering, artificial intelligence, networking and parallel/distributed computing"
499,Frontiers in ICT
500,Nature Photonics
501,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics
502,"modeling and optimization in mobile, ad-hoc and wireless networks"
503,Lobachevskii Journal of Mathematics
504,computational intelligence methods for bioinformatics and biostatistics
505,java technologies for real time and embedded systems
506,eurographics workshop on parallel graphics and visualization
507,European Journal of Oral Sciences
508,Journal of Grid Computing
509,arXiv: Astrophysics of Galaxies
510,Pacific Journal of Mathematics
511,international semantic web conference
512,Speech Communication
513,Engineering With Computers
514,Numerical Functional Analysis and Optimization
515,Reliability and Maintainability Symposium
516,Journal of Computational Design and Engineering
517,Energy and Buildings
518,parallel symbolic computation
519,Mathematical Physics Analysis and Geometry
520,conference on email and anti spam
521,computer information and systems sciences and engineering
522,International Journal of Natural Computing Research
523,IEEE Transactions on Engineering Management
524,"personal, indoor and mobile radio communications"
525,IEEE Latin America Transactions
526,International Journal of Product Lifecycle Management
527,Intelligent Decision Technologies
528,parallel and distributed computing: applications and technologies
529,Journal of Management Information Systems
530,Mathematical Programming
531,International Journal of Infectious Diseases
532,BMC Public Health
533,arXiv: Machine Learning
534,Multidimensional Systems and Signal Processing
535,cellular automata for research and industry
536,Transactions of The Canadian Society for Mechanical Engineering
537,Journal of Indian Business Research
538,International Journal of Creative Interfaces and Computer Graphics
539,SAGE Open
540,international symposium on multimedia
541,"Synthesis Lectures on Image, Video, and Multimedia Processing"
542,Multimedia Tools and Applications
543,"Eos, Transactions American Geophysical Union"
544,Computer Applications in Engineering Education
545,Communications in Statistics - Simulation and Computation
546,EPJ Data Science
547,Science in China Series F: Information Sciences
548,Electrical Engineering in Japan
549,agent-directed simulation
550,computer vision and pattern recognition
551,Nonlinear Analysis-theory Methods & Applications
552,brazilian symposium on artificial intelligence
553,modelling autonomic communications environments
554,International Journal of Ict Research and Development in Africa
555,International Journal of Quantum Chemistry
556,recent advances in natural language processing
557,Homo Oeconomicus
558,intelligent data acquisition and advanced computing systems: technology and applications
559,Journal of the American Medical Informatics Association
560,intelligent virtual agents
561,asian conference on computer vision
562,International Journal of Strategic Information Technology and Applications
563,arXiv: Medical Physics
564,Journal of Colloid and Interface Science
565,Group Decision and Negotiation
566,americas conference on information systems
567,secure software integration and reliability improvement
568,"sensor networks, ubiquitous, and trustworthy computing"
569,Synthesis Lectures on Biomedical Engineering
570,International Journal of Information Technologies and Systems Approach
571,"Electronic Publishing - Origination, Dissemination and Design"
572,symposium on computer architecture and high performance computing
573,Proceedings of The Asist Annual Meeting
574,cross-language evaluation forum
575,symposium on usable privacy and security
576,computational sciences and optimization
577,international conference on computational logistics
578,virtual environments human computer interfaces and measurement systems
579,geographic information science
580,machine vision applications
581,ACM Transactions on Autonomous and Adaptive Systems
582,international conference on information networking
583,ACM Sigois Bulletin
584,Electronic Communications in Probability
585,Softwaretechnik-trends
586,principles and practice of programming in java
587,international conference on graph transformation
588,International Journal of Mathematics in Operational Research
589,Journal of Geometry
590,next generation teletraffic and wired wireless advanced networking
591,International Journal of Computer Aided Engineering and Technology
592,Convergence
593,International Journal for Numerical Methods in Fluids
594,international conference on web services
595,Journal of The Knowledge Economy
596,database and expert systems applications
597,australasian computer-human interaction conference
598,Journal of Computer Security
599,Procedia Earth and Planetary Science
600,mining software repositories
601,mAbs
602,International Journal of Sociotechnology and Knowledge Development
603,Trends in Cognitive Sciences
604,conference of the centre for advanced studies on collaborative research
605,knowledge discovery and data mining
606,Annals of Mathematics and Artificial Intelligence
607,constraint solving and language processing
608,Transportation Research Part C-emerging Technologies
609,Informs Journal on Computing
610,Marine Geology
611,ACM Letters on Programming Languages and Systems
612,intelligent information technology application
613,Scientia Forestalis
614,Cancer Letters
615,Theory and Practice of Object Systems
616,ACM Transactions on Storage
617,Inorganic Chemistry Communications
618,arXiv: Astrophysics
619,Frontiers in Applied Mathematics and Statistics
620,wireless mobile and ubiquitous technologies in education
621,International Journal of Computational Vision and Robotics
622,arXiv: Human-Computer Interaction
623,international conference on swarm intelligence
624,Journal of Computational Science
625,"International Journal of Data Mining, Modelling and Management"
626,Solid State Nuclear Magnetic Resonance
627,Physiology & Behavior
628,evolutionary computation machine learning and data mining in bioinformatics
629,Comparative and Functional Genomics
630,arXiv: Plasma Physics
631,Advances in Applied Probability
632,distributed computing and artificial intelligence
633,arXiv: Cryptography and Security
634,ieee symposium on security and privacy
635,Journal of Electronic Imaging
636,Algorithmic Operations Research
637,Automatic Control and Computer Sciences
638,forum on specification and design languages
639,intelligent tutoring systems
640,Computational and Mathematical Organization Theory
641,conference on information technology in asia
642,Journal of the Association for Information Science and Technology
643,Sprachwissenschaft
644,Journal of Computer-Mediated Communication
645,International Journal of Humanities and Arts Computing
646,The Learning Organization
647,simulation modeling and programming for autonomous robots
648,Allergy
649,international workshop on self organizing systems
650,Synthesis Lectures on Power Electronics
651,"Software Testing, Verification & Reliability"
652,Neuroquantology
653,software visualization
654,International Journal of Knowledge Engineering and Soft Data Paradigms
655,Malaria Journal
656,Environmental Pollution
657,International Journal of E-business Management
658,international conference on networking
659,algorithmic aspects of wireless sensor networks
660,International Journal of Information Security
661,Synthesis Lectures on Computer Architecture
662,International Journal of Production Research
663,international work-conference on the interplay between natural and artificial computation
664,conference on management of data
665,International Journal of Law and Information Technology
666,distributed systems operations and management
667,system level interconnect prediction
668,european workshop on computational geometry
669,Optik
670,ACM Computing Surveys
671,Frontiers in Neuroinformatics
672,Journal of Southern African Studies
673,workshop on recent trends in algebraic development techniques
674,"arXiv: Computational Engineering, Finance, and Science"
675,"design, automation, and test in europe"
676,arXiv: Quantum Algebra
677,IEEE Transactions on Smart Grid
678,Iet Communications
679,conference on risks and security of internet and systems
680,Applied Mathematics and Computation
681,conference on decision and control
682,Reports on Progress in Physics
683,Compare
684,Journal of Universal Computer Science
685,Psychological Reports
686,conferencia iberoamericana de software engineering
687,"Journal of Information, Communication and Ethics in Society"
688,Circuits Systems and Signal Processing
689,in Silico Biology
690,high level parallel programming models and supportive environments
691,Elearn
692,human factors in computing systems
693,The Astrophysical Journal
694,Journal of Semiconductor Technology and Science
695,Advances in Mathematics
696,International Journal on Advances in Information Sciences and Service Sciences
697,Kognitionswissenschaft
698,service-oriented computing and applications
699,australian software engineering conference
700,IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing
701,brazilian symposium on bioinformatics
702,Journal of Programming Languages
703,BioSystems
704,grid and cooperative computing
705,International Journal of Business Information Systems
706,web age information management
707,Proceedings of The Royal Society B: Biological Sciences
708,Physical Communication
709,Journal of Information Science and Engineering
710,international conference on semantic computing
711,engineering of computer-based systems
712,Integration
713,The Review of Socionetwork Strategies
714,international wireless internet conference
715,Elektrotechnik Und Informationstechnik
716,International Journal of Organizational and Collective Intelligence
717,Journal of Statistical Planning and Inference
718,geosensor networks
719,high performance computing systems and applications
720,Infrared Physics & Technology
721,modeling analysis and simulation of wireless and mobile systems
722,artificial intelligence applications and innovations
723,International Game Theory Review
724,IEEE MultiMedia
725,IEEE\/OSA Journal of Optical Communications and Networking
726,Siam Journal on Applied Dynamical Systems
727,international conference on electronic publishing
728,arXiv: Mathematical Physics
729,Journal of Service Science
730,principles of knowledge representation and reasoning
731,International Journal of Computer Network and Information Security
732,Czechoslovak Mathematical Journal
733,mobile lightweight wireless systems
734,international conference on data engineering
735,Cognitive Psychology
736,european conference on information systems
737,arts and technology
738,Journal of Software
739,The International Journal of Multimedia & Its Applications
740,information technology based higher education and training
741,The Journal of Physical Chemistry
742,American Journal of Mathematics
743,Journal of Biomedical Semantics
744,advances in mobile multimedia
745,International Journal of Applied Geospatial Research
746,international conference on pattern recognition applications and methods
747,symposium on geometry processing
748,technologies for collaborative business process management
749,Bioresource Technology
750,Proceedings
751,hybrid artificial intelligence systems
752,international conference on reliable software technologies
753,computational intelligence and games
754,conference on information technology education
755,conference of the association for machine translation in the americas
756,computer human interaction for management of information technology
757,Aircraft Engineering and Aerospace Technology
758,IEEE Computational Intelligence Bulletin
759,New Mathematics and Natural Computation
760,Computer Networks and Isdn Systems
761,Physical Chemistry Chemical Physics
762,Creativity and Innovation Management
763,international conference on bio-inspired systems and signal processing
764,IEEE Transactions on Services Computing
765,Nanotechnology
766,Design Studies
767,international joint conference on artificial intelligence
768,conference on computer graphics and interactive techniques in australasia and southeast asia
769,"international asia conference on informatics in control, automation and robotics"
770,International Journal on Interactive Design and Manufacturing (ijidem)
771,Cirp Annals-manufacturing Technology
772,Scientific Programming
773,Automation and Remote Control
774,Journal of Nonlinear Science
775,Informatik - Forschung Und Entwicklung
776,European Journal of Information Systems
777,Numerische Mathematik
778,reconfigurable computing and fpgas
779,Journal of Physical Chemistry C
780,Journal of Chromatography A
781,Optimization Methods & Software
782,The Journal of The Institute of Image Information and Television Engineers
783,IEEE Transactions on Biomedical Circuits and Systems
784,The International Arab Journal of Information Technology
785,developments in language theory
786,symposium on discrete algorithms
787,international conference on cryptology in india
788,IEEE Transactions on Automatic Control
789,cologne twente workshop on graphs and combinatorial optimization
790,Pattern Recognition Letters
791,Linear Algebra and its Applications
792,networks-on-chips
793,Journal of Zhejiang University Science
794,Applied Acoustics
795,Nederlands Tijdschrift voor Geneeskunde
796,Computer Music Journal
797,Journal of Cardiothoracic and Vascular Anesthesia
798,Information Technology & Management
799,design and diagnostics of electronic circuits and systems
800,Mechatronics
801,international workshop on openmp
802,Celestial Mechanics and Dynamical Astronomy
803,symposium on experimental and efficient algorithms
804,Development and Learning in Organizations
805,International Journal of High Performance Systems Architecture
806,genetic and evolutionary computation conference
807,International Journal of Information Systems in The Service Sector
808,Lingua
809,conference on information and knowledge management
810,autonomous infrastructure management and security
811,Organic Electronics
812,Information Processing Letters
813,International Journal on It\/business Alignment and Governance
814,IEEE Signal Processing Magazine
815,Synthesis Lectures on Digital Circuits and Systems
816,Chinese Optics Letters
817,Applied Bionics and Biomechanics
818,computational intelligence in bioinformatics and computational biology
819,ACM Siguccs Newsletter
820,Annals of Pure and Applied Logic
821,Nonlinear Processes in Geophysics
822,runtime verification
823,International Journal of Central Banking
824,International Journal of Critical Computer-based Systems
825,asian symposium on programming languages and systems
826,spring young researchers colloquium on databases and information systems
827,Online Information Review
828,Journal of Software Engineering and Applications
829,Ipsj Online Transactions
830,Decision Sciences
831,grid and pervasive computing
832,Journal of Cellular Automata
833,Sigplan Notices
834,Mutation Research-reviews in Mutation Research
835,Microwave and Optical Technology Letters
836,international symposium on chinese spoken language processing
837,International Journal of Human Factors Modelling and Simulation
838,Journal of Chinese Language and Computing
839,Solid State Ionics
840,working ieee ifip conference on software architecture
841,extending database technology
842,International Journal of Rf Technologies: Research and Applications
843,International Journal for Numerical Methods in Engineering
844,Journal of Medical Internet Research
845,Public Understanding of Science
846,Synthesis Lectures on Algorithms and Software in Engineering
847,Siam Review
848,Digital Signal Processing
849,computer vision/computer graphics collaboration techniques
850,passive and active network measurement
851,embedded software
852,Production Engineering
853,theoretical aspects of rationality and knowledge
854,IEEE Transactions on Medical Imaging
855,fundamentals of software engineering
856,The International Journal of Press/Politics
857,Journal of Next Generation Information Technology
858,Biochemical Journal
859,european conference on software architecture
860,International Journal of e-Collaboration
861,Fluctuation and Noise Letters
862,human-robot interaction
863,Networks and Spatial Economics
864,Networking and Information Systems Journal
865,International Journal of Molecular Sciences
866,mathematical methods models and architectures for network security systems
867,arXiv: Other Computer Science
868,Applied Physics Letters
869,Optics Communications
870,Journal of the Royal Society Interface
871,Mathematical Biosciences and Engineering
872,IEEE Transactions on Advanced Packaging
873,Chemical Engineering Science
874,Journal of The Mechanical Behavior of Biomedical Materials
875,Journal of Organizational Computing and Electronic Commerce
876,Random Structures and Algorithms
877,symposium on languages applications and technologies
878,IEEE Transactions on Computers
879,Journal of Object-oriented Programming
880,Journal of Signal Processing Systems
881,information retrieval facility conference
882,Iet Intelligent Transport Systems
883,"verification, model checking and abstract interpretation"
884,Challenge
885,Experimental Mathematics
886,internet multimedia systems and applications
887,international solid-state circuits conference
888,Applied Mathematical Finance
889,Wirtschaftsinformatik \/ Angewandte Informatik
890,soft computing
891,Journal of Network and Computer Applications
892,Robotics and Autonomous Systems
893,Journal of the Brazilian Computer Society
894,arXiv: Programming Languages
895,international symposium on multiple valued logic
896,Journal of Economic Interaction and Coordination
897,semantics knowledge and grid
898,Journal of Mechanical Systems for Transportation and Logistics
899,Mobile Information Systems
900,arXiv: Databases
901,Software and Systems Modeling
902,arXiv: Risk Management
903,IET Software
904,field programmable technology
905,european conference on information warfare and security
